tmc,am_lottr,pm_lottr
129-04287,1.0304878048780488,1.0426829268292683
129-04288,1.0273224043715845,1.0273224043715845
129-04289,1.041237113402062,1.0253807106598984
129-04290,1.037037037037037,1.0272727272727271
129-04291,1.0443686006825939,1.0299003322259137
129-04292,1.0471014492753625,1.1476510067114094
129-04293,1.0518518518518518,1.4630541871921185
129-04294,1.0311418685121108,1.9093959731543626
129-04295,1.1721311475409837,1.0344827586206897
129-04296,1.4333333333333333,1.5
129-04297,1.3973214285714284,1.0452488687782806
129-04298,1.0315789473684212,1.0315789473684212
129-04299,1.0413223140495869,1.0413223140495869
129-04300,1.0329670329670328,1.053763440860215
129-04301,1.0555555555555556,1.0547945205479452
129-04302,1.0307692307692309,1.0984848484848484
129-04303,1.0856353591160222,1.1657608695652173
129-04304,1.2,1.846153846153846
129-04305,1.2083333333333333,2.2
129-04306,1.0982142857142856,1.2753623188405798
129-04307,1.0689655172413794,1.8285714285714287
129-04308,1.0315789473684212,1.8571428571428572
129-04309,1.1442307692307692,1.1843575418994414
129-04310,1.7373134328358208,1.0470588235294118
129-04311,2.649122807017544,1.0185185185185186
129-04312,2.12,1.0416666666666667
129-04313,2.5,1.0
129-04314,1.5432098765432098,1.038961038961039
129-04315,1.745762711864407,1.0350877192982457
129-04316,1.1081081081081081,1.034246575342466
129-04317,1.2658227848101264,1.025974025974026
129-04318,1.1428571428571428,1.0499999999999998
129-04319,1.04,1.01
129-04320,1.028985507246377,1.028985507246377
129-04321,1.060200668896321,1.0462046204620463
129-04322,1.0448430493273544,1.0313901345291479
129-04323,1.0476190476190477,1.03125
129-04324,1.0458715596330272,1.0363636363636362
129-04326,1.0416666666666667,1.0
129-04327,1.0294117647058822,1.04
129-04328,1.04,1.1587301587301586
129-04329,1.0227272727272727,1.6857142857142857
129-04331,1.0,1.0
129-04332,1.0492610837438423,1.0339805825242718
129-04333,1.0307692307692309,1.0307692307692309
129-04334,1.0317460317460319,1.0483870967741935
129-04335,1.049056603773585,1.049056603773585
129-04336,1.0555555555555554,1.0555555555555554
129-04337,1.0425531914893618,1.0425531914893618
129-04338,1.056910569105691,1.056910569105691
129-04339,1.0,1.0333333333333334
129-04340,1.0499999999999998,1.0
129-04341,1.0456621004566211,1.0315315315315314
129-04342,1.05,1.0285714285714287
129-04343,1.0405405405405406,1.0374999999999999
129-04344,1.044077134986226,1.0956719817767653
129-04345,1.0657894736842106,1.3875
129-04346,1.0311418685121108,1.723456790123457
129-04347,1.0432432432432432,1.3266331658291457
129-04348,1.027972027972028,1.0526315789473684
129-04349,1.0285714285714287,1.1699346405228759
129-04350,1.0452488687782806,1.2814207650273224
129-04351,1.0588235294117645,1.4655172413793105
129-04352,1.027777777777778,1.4384615384615385
129-04353,1.0,1.3214285714285714
129-04354,1.029126213592233,1.3333333333333333
129-04355,1.0566037735849056,1.398989898989899
129-04356,1.03125,1.4090909090909092
129-04357,1.0448717948717947,1.4561933534743203
129-04358,1.06,1.4035087719298247
129-04359,1.0476190476190477,1.1022727272727273
129-04360,1.0357142857142856,1.0666666666666667
129-04361,1.2,1.0
129-04362,1.0,2.0
129-04363,1.0,1.0
129-04364,1.0335570469798658,1.3976608187134505
129-04365,1.034246575342466,1.1660231660231661
129-04366,1.1553398058252426,1.2272727272727273
129-04367,1.244186046511628,1.3333333333333333
129-04368,1.2903225806451613,1.3741935483870966
129-04369,1.7334905660377358,1.7901234567901232
129-04370,1.391304347826087,1.635135135135135
129-04371,1.2268041237113403,1.1595744680851066
129-04372,1.1714285714285715,1.0333333333333334
129-04373,1.4069767441860466,1.0298507462686566
129-04374,1.2621951219512195,1.05
129-04375,1.1851851851851851,1.0416666666666667
129-04376,1.188034188034188,1.0714285714285714
129-04377,1.5549295774647887,1.0697674418604652
129-04378,1.4516129032258065,1.04
129-04379,1.426470588235294,1.0666666666666667
129-04380,1.5914396887159534,1.0892857142857142
129-04381,1.7843137254901962,1.0454545454545454
129-04382,1.71,1.0315789473684212
129-04383,1.8636363636363635,1.0476190476190477
129-04384,1.25,1.0285714285714287
129-04385,1.0327868852459017,1.0327868852459017
129-04386,1.0483870967741935,1.0317460317460319
129-04387,1.0555555555555556,1.0
129-04388,1.0317460317460319,1.03125
129-04389,1.0416666666666667,1.0408163265306123
129-04390,1.0266666666666666,1.0263157894736843
129-04391,1.0272727272727271,1.0267857142857142
129-04392,1.0148148148148148,1.0296296296296295
129-04393,1.0204081632653061,1.0101010101010102
129-04394,1.024390243902439,1.0281124497991967
129-04395,1.044642857142857,1.0263157894736843
129-04396,1.0279329608938548,1.0274725274725276
129-04397,1.0444444444444443,1.0291970802919708
129-04398,1.0294117647058822,1.028985507246377
129-04399,1.05,1.032258064516129
129-04400,2.903225806451613,1.0952380952380953
129-04401,2.0,1.0
129-04402,1.0,1.076923076923077
129-04403,1.0,1.0
129-04404,1.0303030303030303,1.0588235294117645
129-04405,1.0425531914893618,1.0408163265306123
129-04406,1.0317460317460319,1.0461538461538462
129-04407,1.0499999999999998,1.0476190476190477
129-04408,1.0407239819004523,1.0414746543778801
129-04409,1.1769911504424782,1.0689655172413794
129-04410,1.217391304347826,1.0588235294117645
129-04411,1.2216216216216214,1.048780487804878
129-04412,1.2,1.0
129-04413,1.2874251497005988,1.05
129-04414,1.426470588235294,1.0714285714285714
129-04415,1.564516129032258,1.0588235294117645
129-04416,1.4838709677419355,1.0909090909090908
129-04417,1.5624999999999998,1.0344827586206897
129-04418,2.8333333333333335,1.0384615384615385
129-04419,1.2222222222222223,1.0465116279069768
129-04420,1.04,1.04
129-04421,1.065217391304348,1.04
129-04423,1.0285714285714287,1.23109243697479
129-04424,1.0307017543859651,1.2971014492753625
129-04425,1.0310077519379846,1.3077679449360866
129-04426,1.0476190476190477,1.2647058823529411
129-04427,1.0738255033557047,1.3537234042553192
129-04428,1.2920353982300885,1.5826558265582655
129-04429,1.4404761904761905,1.2143634385201307
129-04430,1.0,3.0
129-04431,1.0175438596491229,1.384180790960452
129-04432,1.0588235294117645,1.0555555555555556
129-04433,1.0666666666666667,1.1333333333333335
129-04434,1.0555555555555556,1.0555555555555556
129-04435,1.0634920634920635,1.0606060606060606
129-04436,1.029126213592233,1.0097087378640777
129-04437,1.0,1.0
129-04439,1.0480769230769231,1.028846153846154
129-04440,1.0456273764258555,1.0463320463320465
129-04441,1.0330578512396695,1.0330578512396695
129-04442,1.0504587155963303,1.2790697674418603
129-04443,1.0295358649789028,1.3445190156599554
129-04444,1.0285714285714287,1.0571428571428572
129-04445,1.0329670329670328,1.1170212765957448
129-04446,1.0278884462151396,1.118320610687023
129-04447,1.0312499999999998,1.0833333333333335
129-04448,1.0324675324675325,1.216867469879518
129-04449,1.0466666666666666,1.5764705882352943
129-04450,1.0468085106382978,1.2546583850931676
129-04452,1.4827586206896552,1.4301675977653632
129-04453,1.0,1.0
129-04454,1.0150375939849625,1.0150375939849625
129-04455,1.028985507246377,1.028985507246377
129-04456,1.0588235294117645,1.0588235294117645
129-04457,1.0273972602739727,1.0273972602739727
129-04458,1.0508474576271187,1.1022222222222222
129-04459,1.0,1.082926829268293
129-04460,1.0338983050847457,1.1172161172161172
129-04461,1.0334928229665072,1.085427135678392
129-04462,1.04,1.0416666666666667
129-04463,1.0344827586206897,1.0344827586206897
